CSE,120,Computer Science Principles
CSE,131,Science and Art of Digital Photography
CSE,142,Computer Programming I
CSE,143,Computer Programming II
CSE,154,Web Programming
CSE,160,Data Programming
CSE,163,Intermediate Data Programming
CSE,190,Current Topics in Computer Science and Engineering
CSE,301,CSE Internship Education
CSE,311,Foundations of Computing I
CSE,312,Foundations of Computing II
CSE,331,Software Design and Implementation
CSE,332,Data Structures and Parallelism
CSE,333,Systems Programming
CSE,341,Programming Languages
CSE,344,Introduction to Data Management
CSE,351,The Hardware/Software Interface
CSE,352,Hardware Design and Implementation
CSE,369,Introduction to Digital Design
CSE,371,Design of Digital Circuits and Systems
CSE,373,Data Structures and Algorithms
CSE,374,Intermediate Programming Concepts and Tools
CSE,390,Special Topics in Computer Science and Engineering
CSE,391,System and Software Tools
CSE,399,CSE Foreign Study
CSE,401,Introduction to Compiler Construction
CSE,403,Software Engineering
CSE,410,Computer Systems
CSE,413,Programming Languages and Their Implementation
CSE,414,Introduction to Database Systems
CSE,415,Introduction to Artificial Intelligence
CSE,416,Introduction to Machine Learning
CSE,417,Algorithms and Computational Complexity
CSE,421,Introduction to Algorithms
CSE,427,Computational Biology
CSE,428,Computational Biology Capstone
CSE,431,Introduction to Theory of Computation
CSE,440,"Introduction to HCI: User Interface Design, Prototyping, and Evaluation"
CSE,441,"Advanced HCI: Advanced User Interface Design, Prototyping, and Evaluation"
CSE,442,Data Visualization
CSE,444,Database Systems Internals
CSE,446,Machine Learning
CSE,447,Natural Language Processing
CSE,450,Animation Production Seminar
CSE,451,Introduction to Operating Systems
CSE,452,Introduction to Distributed Systems
CSE,454,Advanced Internet and Web Services
CSE,455,Computer Vision
CSE,456,Story Design for Computer Animation
CSE,457,Computer Graphics
CSE,458,Computer Animation
CSE,459,Pre-Production for Collaborative Animation
CSE,460,Animation Capstone
CSE,461,Introduction to Computer-Communication Networks
CSE,464,Advanced Topics in Digital Animation
CSE,467,Advanced Digital Design
CSE,469,Computer Architecture I
CSE,470,Computer Architecture II
CSE,472,Introduction to Computational Linguistics
CSE,473,Introduction to Artificial Intelligence
CSE,474,Introduction to Embedded Systems
CSE,475,Embedded Systems Capstone
CSE,481,Capstone Software Design
CSE,482,Capstone Software Design to Empower Underserved Populations
CSE,484,Computer Security
CSE,486,Introduction to Synthetic Biology
CSE,487,Advanced Systems and Synthetic Biology
CSE,488,Laboratory Methods in Synthetic Biology
CSE,490,Special Topics in Computer Science and Engineering
CSE,491,Data Science and Society Seminar
CSE,495,Project Practicum
CSE,497,Undergraduate Research Seminar
CSE,498,Senior Project
CSE,499,Reading and Research
CSE,501,Programming Language Analysis and Implementation
CSE,503,Software Engineering
CSE,504,Advanced Topics in Software Engineering
CSE,505,Principles of Programming Languages
CSE,506,Advanced Topics in Programming Languages
CSE,507,Computer-Aided Reasoning for Software
CSE,510,Advanced Topics in Human-Computer Interaction
CSE,512,Data Visualization
CSE,515,Statistical Methods in Computer Science
CSE,517,Natural Language Processing
CSE,519,Current Research in Computer Science
CSE,520,Computer Science Colloquium
CSE,521,Design and Analysis of Algorithms I
CSE,522,Design and Analysis of Algorithms II
CSE,523,Computational Geometry
CSE,524,Parallel Algorithms
CSE,525,Randomized Algorithms and Probabilistic Analysis
CSE,527,Computational Biology
CSE,528,Computational Neuroscience
CSE,529,Neural Control of Movement: A Computational Perspective
CSE,531,Computational Complexity I
CSE,532,Computational Complexity II
CSE,533,Advanced Topics in Complexity Theory
CSE,544,Principles of Database Systems
CSE,546,Machine Learning
CSE,547,Machine Learning for Big Data
CSE,548,Computer Systems Architecture
CSE,549,High-Performance Computer Architectures
CSE,550,Computer Systems
CSE,551,Operating Systems
CSE,552,Distributed and Parallel Systems
CSE,553,Real-Time Systems
CSE,557,Computer Graphics
CSE,558,Special Topics in Computer Graphics
CSE,561,Computer Communication and Networks
CSE,564,Computer Security and Privacy
CSE,567,Principles of Digital Systems Design
CSE,568,Introduction to VLSI Systems
CSE,571,AI-based Mobile Robotics
CSE,573,Artificial Intelligence I
CSE,574,Artificial Intelligence II
CSE,576,Computer Vision
CSE,577,Special Topics in Computer Vision
CSE,578,Convex Optimization
CSE,579,Intelligent Control Through Learning and Optimization
CSE,583,Software Development for Data Scientists
CSE,586,Introduction to Synthetic Biology
CSE,587,Advanced Systems and Synthetic Biology
CSE,590,Research Seminar
CSE,591,Group Projects in Computer Science
CSE,599,Special Topics in Computer Science
CSE,600,Independent Study or Research
CSE,601,Internship
CSE,700,Master's Thesis
CSE,800,Doctoral Dissertation
CSE D,514,Data Management for Data Science
CSE D,515,Software Design for Data Science
CSE D,516,Scalable Data Systems and Algorithms
CSE M,544,Database Systems
CSE M,547,Natural Language Processing
CSE M,552,Introduction to Distributed Systems
CSE M,584,Computer Security
CSE P,501,Compiler Construction
CSE P,503,Principles of Software Engineering
CSE P,504,Advanced Topics in Software Systems
CSE P,505,Programming Languages
CSE P,510,Human Computer Interaction
CSE P,517,Natural Language Processing
CSE P,521,Applied Algorithms
CSE P,524,Parallel Computation
CSE P,527,Computational Biology
CSE P,531,Computability and Complexity Theory
CSE P,544,Database Management System
CSE P,545,Transaction Processing
CSE P,546,Data Mining
CSE P,548,Computer Architecture
CSE P,551,Computer Operating Systems
CSE P,552,Distributed Systems
CSE P,557,Current Trends in Computer Graphics
CSE P,561,Network Systems
CSE P,564,Computer Security and Privacy
CSE P,567,Design and Implementation of Digital Systems
CSE P,573,Applications of Artificial Intelligence
CSE P,576,Computer Vision
CSE P,590,Special Topics in Computer Science
CSE P,595,Software Entrepreneurship
CSE P,596,Business Basics Computer Science Professionals
CSE P,600,Independent Study or Research
